profile,config_id,scenario,split,controller,alpha,seed,n,delay_bins,jobs,mean_resource_fraction,metric_status,metric_reason,p95_wait,p99_wait,selected_on_validation,weighted_event_approximation
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.1,1732,100,1,720000,0.5528472222222223,ok,,219432.582531993,242959.8921721707,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.3,1732,100,1,720000,0.5305555555555556,ok,,303826.91211742454,345468.33663463563,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,1.0,1732,100,1,720000,0.5107638888888889,ok,,416283.44852485403,472284.66008493106,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,3.0,1732,100,1,720000,0.5013541666666667,ok,,447193.2816650275,493513.99201538286,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,100.0,1732,100,1,720000,0.4888888888888889,ok,,450362.98038126144,494488.46617136133,True,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.01,1732,100,1,720000,0.99375,ok,,12242.167882096814,16977.762131393232,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1732,100,1,720000,0.9450347222222223,ok,,11956.320153824414,17073.6513613286,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1732,100,1,720000,0.9097222222222223,ok,,13312.54570502048,18334.532164984947,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1732,100,1,720000,0.8740277777777777,ok,,14320.546052104015,20103.074902808858,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1732,100,1,720000,0.8298263888888888,ok,,15856.024007889773,20844.932893889272,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1732,100,1,720000,0.7910416666666668,ok,,17185.617159336296,24203.8821421227,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1732,100,1,720000,0.7237152777777777,ok,,18882.832707939306,25624.05069676736,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1732,100,1,720000,0.9790972222222223,ok,,13032.23883986981,18489.14150523825,False,True
