experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,mean_resource_fraction,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.2733333333333333,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,slo_violation_fraction,0.859867361111111,0.8622326388888889,0.8552212638888889,0.8634982708333333,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,overload_fraction,0.1736111111111111,0.1736111111111111,0.1736111111111111,0.1736111111111111,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,mean_wait,807.1935615815842,761.6638059115246,655.2619712560676,974.3433888431678,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,p95_wait,4926.559855161827,4665.995081417125,3875.0656033014566,6197.687215259245,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,p99_wait,9506.629189895652,9085.462046485676,7972.339442598336,11130.567622986484,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,mean_response,810.7956991845142,765.2092058106593,658.8213500813497,977.959023821642,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,p95_response,4935.452576444173,4674.229213761133,3886.4668708544527,6203.647628006962,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,mean_resource_fraction,0.2733680555555555,0.27336805555555554,0.2733680555555555,0.2733680555555555,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,slo_violation_fraction,0.43079791666666656,0.4316493055555556,0.41054320833333335,0.4512588645833333,10,10
high_volume_delay_robustness,high_volume,reactive,100,0,empirical,overload_fraction,0.1736111111111111,0.1736111111111111,0.1736111111111111,0.1736111111111111,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,mean_wait,24593.370282955977,24542.711705750597,21005.80149621469,28202.26529544637,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,p95_wait,65235.95093972211,61225.39202675999,53823.55686552511,77110.70610063504,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,p99_wait,72574.08303829453,68111.86155478391,60365.130358427064,85679.39165248748,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,mean_response,24596.972420558905,24546.281788854907,21009.362138821052,28205.89667040687,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,p95_response,65236.786827031545,61226.6290778622,53824.36278743407,77111.65312777589,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,mean_resource_fraction,0.2733680555555555,0.27336805555555554,0.2733680555555555,0.2733680555555555,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,slo_violation_fraction,0.8837591666666667,0.8835847222222222,0.8820184027777779,0.8854859722222223,10,10
high_volume_delay_robustness,high_volume,reactive,100,2,empirical,overload_fraction,0.1736111111111111,0.1736111111111111,0.1736111111111111,0.1736111111111111,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,mean_wait,12179.31567469976,11779.035646965891,10815.096425503503,13937.408030777973,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,p95_wait,45684.76058747578,42681.548542424294,41478.48090672742,51179.19836506914,10,10
many_server_sensitivity,bursty,gp_mean_mf_mpc,50,1,empirical,p99_wait,54834.98708729008,52339.701612535646,50081.55375695965,60985.886868896654,10,10
